#{"t_start": 1530088248.4430509, "gym_version": "0.9.7", "env_id": 1}
r,l,t
-50.070908,10,6779.297306
-13.027222,10,6832.981961
-37.741969,10,6834.795281
-17.813708,10,6836.619596
-13.878558,10,6903.296523
3.847615,5,6903.329545
-22.365106,10,6962.481049
-26.283369,10,6964.331379
-14.183409,10,6968.065063
-14.817846,10,7018.499338
-12.058791,10,7020.433707
-34.121169,10,7022.331071
-19.332828,10,7081.748782
-15.988649,10,7142.448431
-23.493279,10,7211.985424
-19.081966,10,7267.957634
-21.360822,10,7273.772813
-20.29528,10,7275.794284
-7.303365,10,7336.941289
-18.726009,10,7337.029372
-9.089651,10,7390.747967
-14.280316,10,7456.924536
-11.482018,10,7462.699688
-13.832298,10,7464.616066
-16.523689,10,7468.450848
-47.466193,10,7470.363197
-128.331283,10,7470.407228
-22.964081,10,7470.45126
-25.558318,10,7526.975893
-33.420538,10,7527.021925
-35.751235,10,7527.064955
-21.637704,10,7588.533141
-36.857344,10,7590.500555
-18.521078,10,7590.589618
-40.442196,10,7592.565039
3.205746,5,7594.529451
-21.521706,10,7660.79008
-22.164508,10,7718.086369
-32.5913,10,7718.128399
-17.799239,10,7720.09782
-27.605238,10,7725.953025
-80.075999,10,7727.91041
-11.638305,10,7729.855826
-14.11275,10,7784.628216
-10.904044,10,7784.670248
-12.16987,10,7844.343141
-13.350746,10,7846.34358
-16.042979,10,7850.394508
-21.766733,10,7910.19513
-16.087325,10,7914.219002
-13.487803,10,7916.192436
-43.412061,10,7973.773885
-10.437324,10,7973.859946
-23.055742,10,7979.851253
-13.529224,10,7979.896294
0.941092,1,7981.860697
-19.974869,10,8039.544218
-58.025884,10,8039.634307
-60.490244,10,8043.702207
-21.383132,10,8167.479173
-12.281881,10,8167.61226
-41.344236,10,8220.33553
-24.679884,10,8220.471618
-51.968745,10,8222.472921
-10.89424,10,8288.79898
-54.619241,10,8358.531403
-15.52356,10,8420.840227
-22.833488,10,8422.876638
4.238184,7,8426.997495
-16.675547,10,8496.822887
-10.0068,10,8498.871325
-9.401489,10,8498.916357
-11.027584,10,8567.624978
-15.529824,10,8634.108092
0.937228,1,8640.295382
-21.406263,10,8698.115505
-14.240709,10,8706.521511
-10.954026,10,8710.664466
2.252952,4,8766.291167
-30.994592,10,8768.370648
-44.798926,10,8778.795074
-27.638456,10,8843.294029
-9.596945,10,8845.382516
-10.947336,10,8847.530045
-11.433062,10,8849.631545
-9.809345,10,8849.720607
-12.25071,10,8906.792262
-8.212682,10,8913.262874
-10.87771,10,8917.483879
-28.66765,10,8982.334293
-21.337768,10,8986.548294
-10.522894,10,9055.770064
-24.381647,10,9060.00911
-18.826233,10,9062.134663
-12.937092,10,9064.289206
-12.07013,10,9123.734002
-11.360338,10,9128.084111
-127.008293,10,9130.213639
-11.299891,10,9132.384197
-9.104427,10,9134.55476
-32.338534,10,9192.549513
-13.937145,10,9203.36929
-59.725668,10,9205.50084
-10.02872,10,9263.379858
-21.629436,10,9263.42489
-17.148908,10,9270.130695
-13.66289,10,9332.282371
-13.740057,10,9341.067702
-20.423898,10,9414.886822
-104.668422,10,9482.076235
-17.735783,10,9547.205075
-55.605778,10,9553.90389
-11.542551,10,9615.461139
-82.66506,10,9681.380668
-18.492397,10,9683.614281
-16.604283,10,9685.851884
-63.217409,10,9751.048298
-16.622349,10,9753.248897
-17.175544,10,9753.292927
-12.536947,10,9760.021772
-27.061965,10,9831.43011
-13.581727,10,9833.736769
-15.466189,10,9905.081057
-17.36409,10,9909.538257
-12.007591,10,9911.76786
-30.405874,10,9973.827589
-19.687993,10,9982.807043
-13.506915,10,10047.317537
-16.19226,10,10049.582157
-11.97606,10,10049.674208
-12.181398,10,10049.71824
-14.124241,10,10129.859848
-15.715437,10,10134.433155
-13.704608,10,10202.045824
-8.636053,10,10206.595073
-31.948408,10,10206.640105
-13.57633,10,10272.498644
-11.962741,10,10342.435958
-13.571135,10,10344.71758
-15.310302,10,10349.301897
-21.630694,10,10351.612536
-14.135252,10,10354.037308
-17.244662,10,10421.850114
-25.63395,10,10428.733044
-65.186676,10,10496.389891
-45.619068,10,10498.673533
-19.110239,10,10507.841124
-11.856858,10,10510.137774
-29.345602,10,10512.412409
-44.923991,10,10578.927356
-17.255887,10,10581.223026
-12.258539,10,10590.496673
-22.989556,10,10660.696212
-11.087573,10,10663.0449
-10.93423,10,10665.344553
-10.96923,10,10669.95787
-51.996494,10,10736.760889
-15.887406,10,10819.888914
-39.807808,10,10819.979964
-12.888669,10,10886.791016
-15.919767,10,10886.885056
-10.212634,10,10889.233745
-33.685367,10,10966.477347
-14.3711,10,10968.828037
-14.248006,10,10978.372898
-38.640134,10,11044.549601
-46.569674,10,11046.945323
-14.201847,10,11117.61615
5.155047,9,11122.515646
-28.083747,10,11124.867336
-17.293618,10,11194.599578
-51.238359,10,11204.149462
-10.669932,10,11206.513141
-21.709107,10,11281.997635
-20.847089,10,11289.172789
1.742582,3,11355.439565
-28.837833,10,11362.631733
-30.951231,10,11436.270754
-10.268416,10,11438.780558
-10.003464,10,11438.829592
2.439832,4,11438.869622
-19.565665,10,11441.355409
-13.938424,10,11512.897921
-46.983887,10,11512.943933
-7.288108,10,11517.770426
-10.305971,10,11581.690508
-12.87825,10,11584.215327
-47.995058,10,11586.622055
-15.721058,10,11589.074823
-21.446119,10,11589.120834
-10.452286,10,11667.077412
0.90983,1,11667.159471
-16.467752,10,11672.275148
-31.640802,10,11737.816262
-38.124423,10,11742.82186
-22.075502,10,11820.85295
-26.599848,10,11830.880158
-22.49846,10,11830.924212
-10.798897,10,11900.603405
-52.525441,10,11903.19827
-12.814744,10,11905.77212
-56.135132,10,11905.815151
-17.50599,10,11908.287929
-8.859332,10,11978.160155
-12.828816,10,12054.363005
-14.517389,10,12064.235104
-16.127356,10,12064.322168
-6.051014,10,12139.797714
-29.70838,10,12144.800309
-20.590341,10,12149.715843
-19.956487,10,12226.186874
-11.932217,10,12294.315907
-16.778087,10,12371.22324
-95.227207,10,12373.744053
0.998571,1,12381.251433
-40.061886,10,12381.262442
-31.079732,10,12383.795283
-21.45663,10,12458.292913
-11.153807,10,12460.856756
-25.564159,10,12468.457219
-15.383771,10,12470.955014
-13.228776,10,12540.764458
-10.599917,10,12545.862138
-23.380127,10,12545.906173
5.592506,8,12548.545055
-13.847677,10,12633.220073
-12.206666,10,12633.264105
-17.894969,10,12700.601594
-11.201706,10,12703.250497
-12.104771,10,12783.681512
-19.69954,10,12866.600094
4.788768,7,12866.641124
3.051141,4,12871.725778
-16.767846,10,12874.280615
-15.682976,10,12946.755849
-9.46073,10,12954.427363
-5.430946,10,12959.628102
-124.221485,10,13031.899128
-18.006586,10,13034.453984
-23.693551,10,13037.074849
-13.002194,10,13042.19453
-13.139789,10,13203.038263
-18.690782,10,13203.125326
-10.508615,10,13211.007993
-35.257961,10,13279.954556
-14.341444,10,13282.569431
-12.642356,10,13285.161294
-13.747736,10,13361.896196
-19.92575,10,13367.114931
-18.17193,10,13464.769184
-11.191232,10,13543.833087
-14.434183,10,13549.210953
-11.256437,10,13624.865335
-34.506863,10,13624.952398
-20.080205,10,13627.603304
-43.473827,10,13635.506985
-12.480893,10,13717.512932
-14.509187,10,13725.511683
-22.590191,10,13807.558714
-9.679794,10,13818.291412
-37.693569,10,13894.316144
-19.465618,10,13902.337893
-16.110366,10,13905.028843
-56.127593,10,13995.704176
-12.967967,10,14003.690899
-57.476295,10,14080.900672
-10.54024,10,14080.988734
-55.134678,10,14081.032766
-62.695242,10,14164.17394
-24.305516,10,14175.037729
-18.598772,10,14255.563764
-15.744405,10,14263.780671
-14.258024,10,14341.060222
-22.156867,10,14346.545164
-13.995948,10,14349.331166
-22.785164,10,14352.112165
