EpRewMean,EpLenMean,KL,TotalRewardMean,EpRewSEM,EVAfter,EVBefore
-14796.049475247184,110.0,nan,-4987515.050601924,2437.653085979102,nan,nan
-14024.058597985935,110.0,nan,-5001539.1091999095,3406.377682130593,nan,nan
-16929.95067463427,110.0,nan,-5018469.059874544,3240.064269581147,nan,nan
-17659.741431082603,110.0,nan,-5036128.8013056265,4409.855273864206,nan,nan
-10983.226633395856,110.0,nan,-5047112.0279390225,1808.1145826744864,nan,nan
-15168.361299150298,110.0,nan,-5062280.389238173,2611.5874612064877,nan,nan
-14643.807885194823,110.0,nan,-5076924.197123368,2879.678668472612,nan,nan
-16936.693219104425,105.875,nan,-5093860.890342473,5270.636688649293,nan,nan
-13728.761015629376,110.0,nan,-5107589.651358102,2181.777215790244,nan,nan
-11944.56354192542,110.0,nan,-5119534.214900028,2287.070325568578,nan,nan
-15331.139431415431,110.0,nan,-5134865.354331443,3276.394402037128,nan,nan
-15108.188728947478,110.0,nan,-5149973.54306039,2085.483228772299,nan,nan
-11969.943856027565,110.0,nan,-5161943.486916418,1788.1936105563943,nan,nan
-23263.054165786933,110.0,nan,-5185206.541082205,5958.290897234901,nan,nan
-16527.839911410025,110.0,nan,-5201734.380993615,2254.819244157572,nan,nan
